State,County,Democratic,Republican,Party
TN,hardeman,3.9537431987373566,2817.598028763332,0
TN,hawkins,5474.8176464341195,10829.479042805899,0
TN,henderson,3133.586786968048,5311.967778653283,0
TN,henry,3978.205036284471,6735.649343946554,0
TN,hickman,1069.7917309336626,4489.197018565625,0
TN,jackson,839.1146088801579,2969.3079684737313,0
TN,johnson,488.29122157868187,3633.180629109451,0
TN,lake,-518.3826904247217,1804.7128430361554,0
TN,lauderdale,158.66225231645512,3062.0677152356366,0
TN,lawrence,3522.3350547453156,7861.978798067061,0
TN,lewis,1462.5894281718392,3417.3340057833266,0
TN,lincoln,4544.293888635639,6785.787710541621,0
TN,loudon,9828.92167811798,9972.680802567269,0
TN,macon,1413.9619634296323,4373.14671604216,1
TN,madison,19444.996852021657,13261.69502959171,0
TN,marion,2665.1570910470728,5371.647155392899,0
TN,marshall,3480.473859074227,6640.408787818087,0
TN,maury,13462.157376812085,16769.06965806125,0
TN,mcminn,5555.578044308779,10286.430062241494,0
TN,mcnairy,2336.8853028692683,5324.913906791033,0
TN,monroe,3334.964430884913,8042.555315122248,0
TN,montgomery,32997.978831297114,36468.41239351156,0
TN,moore,1365.4535945471944,2539.2706886158267,0
TN,morgan,-281.662188510345,4714.8267534116185,0
TN,overton,2275.488985186239,4492.951417822171,0
TN,perry,798.7327759199616,2326.4187146454424,0
TN,pickett,783.9847416894554,2091.004644955239,0
TN,polk,1324.6958992072978,3935.8208017342695,0
TN,putnam,13079.701301632553,13943.052925456355,0
TN,rhea,2813.2683654922876,5307.8454584272295,0
TN,roane,7557.393275041832,11036.382392689196,0
TN,robertson,9084.623736283562,13522.039218297341,0
TN,rutherford,63174.18305348375,52502.38355769597,0
TN,sequatchie,1684.8553799105757,3837.5838085639443,0
TN,shelby,196867.1209032222,68469.2727010186,1
TN,smith,1773.296162977189,4696.039490998928,0
TN,stewart,1848.6316053153496,3990.8757439327746,0
TN,sullivan,25721.324170910182,29291.58306962926,0
TN,tipton,6731.862723334227,10944.596374648781,0
TN,unicoi,1856.7902741779508,4262.5125744463785,0
TN,van buren,906.0502231052778,2274.9683087126323,0
TN,warren,3421.0879418583754,7098.967745421389,0
TN,washington,29694.27015891463,23745.36752662464,0
TN,wayne,278.72330948145463,3658.603697981078,0
TN,white,2661.5441550038595,5835.833314077838,0
TN,williamson,88235.76522707823,39206.2679337626,0
TN,wilson,27642.71975098476,24621.361096936096,0
TX,anderson,-4616.493720433544,8116.532948772387,0
TX,angelina,8122.099504626232,12000.408358589702,0
TX,archer,1944.0101857839945,3218.285248301243,0
TX,armstrong,856.9064114408502,1766.8424905343672,0
TX,atascosa,2392.1956659919233,7011.19942196796,0
TX,bailey,261.53538149024826,1846.79024343532,0
TX,bastrop,6621.780484973642,11934.355421955468,0
TX,baylor,1294.7576298189633,2019.8964186385128,0
